Wind_Direction,Wave_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0.0,0.0,1.0,4.0,3.9066818336248397,-0.02176127611190168,-0.020260909823996826,0.7446320728212595,0.006526105687556538,0.015650230781520804
0.0,0.0,1.0,6.0,7.484839574456215,-0.07880832566612503,-0.0738734492608346,1.5189524848163127,0.01669992596824352,0.0524466462140731
0.0,0.0,1.0,8.0,12.225859147071839,-0.15128203873336316,-0.172698916900903,2.5083336631059647,0.026733466429677263,0.10492834727279841
0.0,0.0,1.0,10.0,18.847180819511415,-0.21145514684915542,-0.3494101952537894,3.8602940815091134,0.023893823562098668,0.1519426308758557
0.0,0.0,1.0,12.0,22.588594748973847,-0.32806052204221486,-0.48229714994877576,4.796822268366814,-0.004140948380550526,0.2068876585625112
0.0,0.0,1.0,14.0,17.953375744819642,-0.43789453323185445,-0.3258156650699675,3.3629573940634727,-0.05215767695069701,0.2589652801193297
0.0,0.0,1.0,16.0,15.940530260324477,-0.5266725998148322,-0.2792368005916069,2.8001173332333567,-0.08672429797891164,0.28278011978790163
0.0,0.0,1.0,18.0,15.014130531311036,-0.6088576774671673,-0.26225255329960784,2.5796724441722034,-0.1180401884362036,0.3021781725995243
0.0,0.0,1.0,20.0,14.761227813959122,-0.6853439441621304,-0.25372956183662243,2.536138816247112,-0.1954575705748466,0.3173479682635516
0.0,0.0,1.0,22.0,14.872237752437591,-0.7737774960398675,-0.2506318999011128,2.562162959127658,-0.29845507938173976,0.32838269671984016
0.0,0.0,3.0,4.0,3.687045774936676,-0.025962354827396665,-0.015375745919830364,0.757348491229117,0.007492679887478516,0.017318180867039245
0.0,0.0,3.0,6.0,7.411302551388741,-0.08477114440555579,-0.06968023783854824,1.5261885024309159,0.017245860806710426,0.05397611379845557
0.0,0.0,3.0,8.0,12.240426728248597,-0.15645252617262304,-0.16967826217017137,2.514808137893677,0.027031692127281532,0.10617212322633714
0.0,0.0,3.0,10.0,18.880646374702454,-0.21527763018012047,-0.34746576606109736,3.862301504909992,0.024176883939017898,0.15286058208718895
0.0,0.0,3.0,12.0,22.70021603679657,-0.3300958859659731,-0.47599259454756976,4.726972360193729,-0.004565359813908799,0.2111451174169779
0.0,0.0,3.0,14.0,17.947936049461365,-0.4439599473550916,-0.3197270543724299,3.3493382006883623,-0.05047816213817339,0.2591994593329728
0.0,0.0,3.0,16.0,15.930298085927964,-0.5348815683498979,-0.2729850926359213,2.792787943094969,-0.08410976822821749,0.2828582004420459
0.0,0.0,3.0,18.0,15.009131114721297,-0.6221403414234519,-0.2560186781568628,2.5757117843106387,-0.11814504011445023,0.3019279282074422
0.0,0.0,3.0,20.0,14.759038473844528,-0.7023541855514049,-0.24773943988560676,2.5321380033263523,-0.1940689361546356,0.31677547229640185
0.0,0.0,3.0,22.0,14.868093297958374,-0.7926263400167227,-0.2450182379670805,2.558817028867517,-0.2895829554068514,0.3284307007752359
0.0,0.0,5.0,4.0,3.663158948123455,-0.03291990930295924,-0.01014609017736484,0.7731652991361916,0.01126541419241039,0.020181634323515937
0.0,0.0,5.0,6.0,7.479205278038979,-0.09263209127289611,-0.06513221842237271,1.5390154019147158,0.019428030562075493,0.05680833918590241
0.0,0.0,5.0,8.0,12.333692575931549,-0.16256960236653686,-0.16623705277400222,2.5276176469922067,0.027117013061107628,0.10816938092466444
0.0,0.0,5.0,10.0,18.966675605773926,-0.21913959128782154,-0.3450357456989586,3.871921566128731,0.024162950478149696,0.15445985454879702
0.0,0.0,5.0,12.0,22.605926234722137,-0.3364039918594062,-0.46425612533465027,4.603765966057777,-0.000947639129095478,0.2175054862126708
0.0,0.0,5.0,14.0,17.954727969646452,-0.4478698618784547,-0.3122195518352091,3.31922403639555,-0.0467242235038043,0.2595654683634639
0.0,0.0,5.0,16.0,15.958911770820619,-0.5399611962735653,-0.2658289155434486,2.7764912618100643,-0.07872909821023313,0.2829519856162369
0.0,0.0,5.0,18.0,15.049978919267655,-0.6273155049160123,-0.24888074534910992,2.5665638786330818,-0.11620860470186926,0.3014047329649329
0.0,0.0,5.0,20.0,14.804890414476395,-0.7080563940405845,-0.24101947799063236,2.524027075016631,-0.1893672840494046,0.3153758154809475
0.0,0.0,5.0,22.0,14.921044160842895,-0.800379218518734,-0.2386468470255304,2.5528413020954615,-0.27592739213385264,0.32826040660217404
0.0,0.0,7.0,4.0,3.819755821168423,-0.04091215269590612,-0.005461176261281253,0.7969140593379125,0.02262064319644196,0.02436056658030702
0.0,0.0,7.0,6.0,7.64614597928524,-0.10044507193598293,-0.06065919460395708,1.5583320205956697,0.022115280968837397,0.06064442831743145
